feature,reason
bartTorvik_Rk,Correlated with bartTorvik_Barthag (r=0.996)
kenpom_AdjT,Correlated with bartTorvik_Adj T. (r=0.990)
bartTorvik_AdjOE,Correlated with kenpom_ORtg (r=0.987)
bartTorvik_Barthag,Correlated with kenpom_Rk (r=0.987)
BPI_Rank,Correlated with kenpom_Rk (r=0.984)
BPI,Correlated with kenpom_NetRtg (r=0.983)
bartTorvik_AdjDE,Correlated with kenpom_DRtg (r=0.981)
PowerRank,Correlated with LRMCB (r=0.979)
kenpom_SOS_ORtg_Rank,Correlated with kenpom_SOS_NetRtg_Rank (r=0.977)
kenpom_SOS_DRtg_Rank,Correlated with kenpom_SOS_NetRtg_Rank (r=0.967)
kenpom_Luck,Correlated with kenpom_Luck_Rank (r=0.962)
masseyComposite_Rank,Correlated with kenpom_Rk (r=0.957)
LRMCB,Correlated with kenpom_Rk (r=0.955)
kenpom_SOS_NetRtg_Rank,Correlated with kenpom_SOS_NetRtg (r=0.951)
kenpom_Rk,Correlated with kenpom_NetRtg (r=0.943)
BPI_Off,Correlated with kenpom_ORtg (r=0.943)
kenpom_AdjT_Rank,Correlated with bartTorvik_Adj T. (r=0.941)
bartTorvik_WAB,Correlated with kenpom_NetRtg (r=0.935)
kenpom_SOS_ORtg,Correlated with kenpom_SOS_NetRtg (r=0.923)
kenpom_DRtg_Rank,Correlated with kenpom_DRtg (r=0.922)
BPI_Def,Correlated with kenpom_DRtg (r=0.913)
kenpom_SOS_DRtg,Correlated with kenpom_SOS_NetRtg (r=0.908)
kenpom_ORtg_Rank,Correlated with kenpom_ORtg (r=0.902)
